"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"FMNL2",10.26624247,9.626938947,9.630238006,9.911892196,9.965660679,10.85990544,11.03962214,11.09653977,10.97447911,10.06092077,9.910153545,9.709463774,9.647580201,10.44167924
"ARL6IP6",9.521362818,8.940151595,8.840627304,9.145683389,9.050680866,9.943094414,9.803597777,9.795756019,10.00967816,8.990319077,9.221566556,8.770849728,8.837846337,9.458450852
"GALNT13",5.060407704,4.546285367,4.532164306,4.508978743,4.48877442,5.058863412,5.149626442,5.053927347,5.147448009,4.616899001,4.564273827,4.517499923,4.521458766,5.134739851
"KCNJ3",5.664123791,5.36727169,5.475390388,5.257903189,5.467548421,5.773171363,5.66519629,5.70683683,5.690182403,5.419650986,5.451973054,5.375001791,5.449235884,5.749551578
"GPD2",10.02335194,9.745988852,9.564424782,10.0540682,9.925876797,10.32888448,10.19306498,10.19768047,10.52986647,9.833174551,10.09975006,9.580741256,9.622500061,10.06092827
"GALNT5",7.954604254,7.701361528,7.672342837,6.703933261,6.534670906,8.589444067,7.696970214,7.40889589,8.443884483,6.693977988,6.678970629,7.835439631,7.748038141,8.150135383
"UPP2",5.672745547,5.186575491,5.356865407,5.307474313,5.307835971,5.731721393,5.714528749,5.6815165,5.742045723,5.361561549,5.250119606,5.332214285,5.245844507,5.657199257
"CCDC148-AS1",6.927010891,6.443437291,6.508337441,6.431364996,6.289720971,6.823427881,6.700213888,6.817484027,6.782350622,6.307416154,6.411239476,6.386895385,6.451144369,6.810424789
"PKP4",9.661632292,8.987858032,8.766510778,9.446120325,9.239988683,10.06423223,9.881806641,9.63261397,10.0697172,9.303584081,9.327252703,8.985910089,8.921427773,9.706619055
"DAPL1",5.603362893,5.30066032,5.188075681,5.219688137,5.245548563,5.690003079,5.622222658,5.719209189,5.757966143,5.235419024,5.135809321,5.182101218,5.204668439,5.691146433
"TANC1",9.523888182,8.99903009,8.954838615,7.210516193,7.226046317,7.730260329,9.440489897,9.318899591,7.984086477,7.190841694,7.108105571,9.063475679,9.040597447,9.605367576
"MARCHF7",11.13426872,10.72569296,10.74634202,10.71391221,10.79497279,11.20984748,11.21552497,11.18520146,11.26493523,10.8484388,10.82629422,10.77646152,10.70842068,11.13934969
"TANK",9.552286268,8.744492851,8.873198333,8.893949925,8.926010224,9.909062431,10.00525359,9.920394598,10.03303379,8.828929835,8.826917346,8.815984383,8.908758756,9.487801089
"PSMD14",11.4837306,11.17507257,11.11081222,11.19609807,11.05473003,11.45429984,11.39591653,11.39146696,11.41378217,11.0368127,11.22352736,11.04423996,11.18943631,11.49889208
"TBR1",6.319456961,5.672533898,6.139827228,5.831810385,5.842171323,6.367278953,6.277343397,6.389280442,6.285439668,5.861037296,5.779790807,5.752154876,5.770853365,6.434684872
"SLC4A10",5.394454183,4.999964545,4.889657465,4.881468564,4.934477435,5.402350288,5.576432766,5.690771317,5.359171665,4.926625079,5.006281596,5.045970237,5.085012641,5.385468098
"GCA",5.329800567,4.74559303,4.571788725,4.604185961,4.686199024,5.260740684,5.231772661,5.196219175,5.309849584,4.530141881,4.701568605,4.781033249,4.905902749,5.610994843
"SCN2A",5.375926839,4.750134674,4.842154884,4.515867789,4.482691348,5.012933651,5.033699655,4.982813097,4.913541828,4.551915301,4.524909526,4.937793261,5.026010941,5.244326663
"CSRNP3",6.181837431,5.350030389,5.630972811,5.284447435,5.243247876,5.936588631,5.900428887,6.029348419,6.005899838,5.218382286,5.31318183,5.616128166,5.561566374,6.36725271
"XIRP2",5.152668902,4.537786719,4.646384418,5.212439309,5.283327403,5.718621748,5.296273948,5.325279398,5.900035265,5.131792793,5.243061233,4.705555511,4.561186097,5.228505192
"B3GALT1",8.641550876,7.975760568,8.189959518,10.49534171,10.36936754,11.69175059,9.686201489,9.684750263,11.8389322,10.45934772,10.44022992,8.090993351,8.125826257,8.729425929
"CERS6",11.06283306,10.45393828,10.61431388,5.777353822,5.680155266,6.824411789,10.94139245,10.85094322,6.443760663,5.794376343,5.723341102,10.4362162,10.46588977,11.11023984
"NOSTRIN",5.287214048,4.584492593,4.708538819,4.725815349,4.618077396,5.236658351,5.356981306,5.293681253,5.344554805,4.655664333,4.698916484,4.731566573,4.789026142,5.336351571
"G6PC2",5.127247326,4.807265902,4.75101336,4.709124335,4.600123344,5.20151688,5.161790552,5.195754547,5.121633748,4.543366192,4.74993749,4.634176951,4.680981652,5.147568541
"DHRS9",5.464951605,4.954625396,5.033449924,4.966258645,5.233653489,5.448807056,5.547159377,5.564939042,5.519171405,5.124443391,5.148153552,4.961641384,5.059255261,5.50068665
"BBS5",8.524515726,8.032944132,7.847254011,8.208039791,8.395064297,8.675691544,8.83518991,8.756034863,8.734078265,8.257227287,8.324898568,8.254057074,8.253968668,8.728875476
"KLHL41",5.383301606,4.800781225,4.841527632,4.898966124,4.934569966,5.416313125,5.317255427,5.212924257,5.509329757,4.860571359,5.037345039,5.05706415,4.731947072,5.283265905
"PPIG",8.748189834,8.399712686,8.390157456,8.628391718,8.503473804,9.072429277,8.932659032,8.949030402,9.190934319,8.597607854,8.70831856,8.354678037,8.462339977,8.675666682
"SSB",12.1481349,11.52729873,11.58892405,11.99477895,11.91197123,12.37809258,12.3669394,12.31209349,12.43261109,11.99035381,11.89101665,11.43102498,11.55859396,12.09614362
"UBR3",9.614771744,9.49545236,9.489249354,9.591850445,9.579292871,9.677101384,9.620894325,9.62438779,9.859230587,9.439974597,9.594964678,9.529248664,9.508176611,9.76590854
"MYO3B",5.314627528,4.948429017,4.933535833,4.931722518,4.895095234,5.292917316,5.327162854,5.359664524,5.293015298,4.931722518,4.830317283,4.897181544,4.953852436,5.32447435
"SP5",8.463984426,8.174600213,8.039312352,8.152616943,7.856554633,8.501774853,8.485444773,8.418185643,8.357763743,7.921769212,7.805178375,7.855626512,7.859594316,8.47514397
"GAD1",6.070987153,5.93856394,5.915856238,5.920110414,5.672671542,6.044174577,6.138422045,6.050039518,6.075602114,5.804920954,5.868797835,5.924519137,5.854457969,6.100697931
"GORASP2",12.44188474,11.81108909,11.88982081,11.80691753,11.88196531,12.44404313,12.31014042,12.37790353,12.38325378,11.85684236,11.78068445,11.84888638,11.91948997,12.42575532
"DCAF17",9.057050137,8.669819694,8.422821744,8.801670649,8.802820743,9.413490896,9.54289053,9.372276204,9.469089526,8.806656939,9.018919262,8.551604506,8.534531074,9.038258283
"CYBRD1",11.91887601,11.37782967,11.33612652,11.3133544,11.32877597,12.35752437,12.29401841,12.26112987,12.46219569,11.3424981,11.33365169,11.45170153,11.45350746,12.02962449
"HAT1",11.72765316,10.82200062,10.84910372,10.85422812,10.86654537,11.69891223,11.60467534,11.66009859,11.68897191,10.86704068,10.87888276,10.77287331,10.84907585,11.60532726
"METAP1D",7.706492312,7.658189363,7.533537494,7.906782721,7.980129408,8.335826444,7.923213471,7.945927168,8.264684276,7.947397577,7.85953413,7.699323282,7.59638271,7.712224398
"DLX1",8.576153968,7.567828298,7.378422795,8.170538556,8.192771684,9.019668306,9.047089907,8.926531553,9.05931933,8.130608725,8.253451981,7.645171378,7.697777815,8.645854828
"ITGA6",5.974229741,5.411791281,5.51114647,11.32681563,11.23869596,12.00364939,10.60973117,10.45579278,12.06786264,11.11382222,11.26932884,5.802122455,5.728244102,6.505461438
"PDK1",10.09971748,9.607855684,9.4480461,10.0350821,10.02196727,10.51498175,10.68278887,10.66068839,10.58731235,10.00048021,10.03277632,9.548785776,9.462778061,10.03827633
"RAPGEF4",5.559531959,5.382639199,5.342173619,5.366737892,5.395779839,5.732439626,5.898536336,5.809101661,5.790879024,5.379135441,5.353036958,5.298594947,5.316920937,5.587646694
"MAP3K20",9.642346039,8.884597456,8.878262835,9.722764804,9.790343784,10.56925364,10.63432306,10.57323479,10.78050471,9.769982375,9.814252583,8.980932743,8.902775322,9.82883137
"CDCA7",9.435520419,8.424669259,8.303998937,9.406116284,9.406261333,10.1328401,10.05865163,10.11407537,10.0738039,9.21791263,9.678609869,8.405978412,8.464853534,9.361404096
"SCRN3",10.04878118,9.121280792,9.22324341,9.167322684,9.137640082,10.13814785,10.06182339,10.2517755,10.12718179,9.26709583,9.26555524,9.236291433,9.226158372,9.979205077
"HOXD13",7.132251488,6.738683656,6.800996192,6.593254822,6.572610756,7.129737716,6.98763189,7.092892293,7.00610628,6.538517936,6.613875602,6.563788069,6.540076352,7.136339385
"HOXD12",5.615769058,4.930076522,5.060569224,4.989464943,4.915607739,5.651088525,5.661938681,5.62488909,5.355447847,5.04226445,4.943767219,4.812816667,4.983419003,5.545536256
"HOXD11",7.083559817,7.358873455,7.637840976,6.60442346,6.833996365,6.177834038,6.266794067,6.336776725,6.270030878,6.486872994,6.743761956,7.305711105,7.381140681,6.95051838
"HOXD10",9.05831766,7.992332335,8.091785489,5.255804306,5.418875231,6.053928803,6.012955314,5.912803006,5.903621596,5.361025115,5.541512934,8.363565558,8.080327705,9.087290568
"HOXD9",7.31934417,7.489964738,7.56403316,7.353694389,7.251626934,7.066682407,7.034641555,7.117412423,6.970986688,7.293462329,7.311538621,7.435813607,7.375106847,7.269664372
"HOXD8",6.639217817,5.935193336,5.909281589,5.678691407,5.761714568,6.597771696,6.670915334,6.62633869,6.452348956,5.756075634,5.768714023,5.757462806,5.783293588,6.776579305
"MIR10B",4.531232963,3.893605095,3.949871049,4.002215786,3.984839865,4.435275086,4.554782572,4.471881486,4.524222284,3.970680781,3.979173423,4.049343945,3.939506449,4.488572584
"HOXD4",8.068874775,7.171986529,7.125173147,6.984596936,6.955237705,7.667421454,7.719225526,7.679890189,7.8215401,6.958853953,6.793619478,7.222010762,7.240191846,7.970123378
"HOXD3",5.667157198,5.136262488,5.059737392,5.249411057,5.123252049,5.66530773,5.531140261,5.711405826,5.501045007,4.969038418,5.005818071,5.076918787,5.001443014,5.522657966
"MTX2",9.615302427,8.886703488,8.72347504,9.052867311,8.89912147,9.513104764,9.95559719,9.522585309,9.746035606,8.951845114,9.283510169,8.77858056,8.950590819,9.522004852
"AGPS",10.8346764,10.20855075,10.11397859,10.02992262,9.926068583,10.3560081,10.50140604,10.50580658,10.56233493,9.987609434,9.966258963,10.1387263,10.12883218,10.80102051
"RBM45",8.480512599,7.750250708,7.74402263,7.918728265,7.871397476,8.426346553,8.13513568,8.101186023,8.388642223,7.727382354,7.993622497,7.721248627,7.858751422,8.158510103
"OSBPL6",9.486911641,8.864623381,8.853539685,9.278371434,9.499954401,10.0355868,10.1153959,10.08851316,10.31617107,9.404469763,9.379000239,9.010538895,9.019802245,9.654640984
"PLEKHA3",8.480036004,7.865417363,7.890965529,7.777928323,7.870102662,8.333512382,8.719207138,8.453234567,8.452818732,7.988919875,8.070655338,8.065438903,8.158590192,8.464112139
"ITGA4",9.183714374,8.813681614,8.823487057,9.222951129,8.997547087,9.372984639,9.885947301,9.770467686,9.618065383,9.033901918,9.278672616,8.900832382,8.910520746,9.394261418
"ITPRID2",10.78919754,10.2782869,10.25783808,11.71024959,11.63457143,12.33752419,11.39444042,11.3673064,12.23415582,11.66791759,11.8237677,10.34901312,10.32780379,10.80572885
"PPP1R1C",6.063584955,5.215072944,5.161200774,5.581928088,5.532860842,6.164990496,6.003232478,6.088272418,6.252982891,5.493836665,5.535642101,5.289058807,5.282318221,5.973168024
"DNAJC10",10.84602941,10.7822137,10.69901205,10.68244688,10.62302347,10.58384408,10.87905027,10.82344231,10.82121665,10.59515969,10.61273209,10.73900693,10.77886278,10.9763686
"DUSP19",5.977801036,5.616478007,5.424265454,5.315344101,5.21161565,5.771443278,6.104491551,6.333062333,6.00812869,5.242792734,5.397404575,5.46606753,5.601627747,5.935223951
"NUP35",10.21455066,9.664447114,9.566334047,10.20041967,10.1052201,10.51870138,10.58311471,10.45424736,10.52375612,10.10533819,10.26577615,9.491945648,9.46971246,10.12601658
"ZNF804A",5.344179437,5.020127548,4.971497706,4.944390455,4.846360687,5.213363407,5.280166988,5.303645298,5.185263738,4.94367365,4.759212374,5.009263251,4.960926803,5.362175007
