"Gene","Correlation"
"PWP1",0.887056081748712
"MRPL55",0.887019872000227
"PSENEN",0.886925132981397
"EBP",0.886914716123009
"SWI5",0.886806389142161
"DCTN3",0.886698303784476
"OGFR",0.886506734556353
"SNX17",0.886496031051876
"MRPL21",0.886340215610878
"PRPF4",0.886213226682337
"B3GAT3",0.886205101079168
"GCN1",0.886084514211354
"ERAL1",0.886014022157828
"COX6C",0.885847056803798
"SMUG1",0.885819605091635
"MRPL14",0.8857108073974
"DNAJC11",0.885535667957748
"SSR2",0.885401629795485
"MED16",0.884992468603483
"ZDHHC24",0.884958129864828
"TBCB",0.884927673718395
"ABHD8",0.884909782075579
"PFDN5",0.884693035546828
"TPGS1",0.884655294985187
"GNB2",0.884634609572074
"GPS1",0.884317916220537
"ALKBH6",0.884305132544163
"BSG",0.884123248938852
"BAD",0.88409126807309
"LRFN4",0.883935007474473
"ZNF414",0.883847027892096
"USP7",0.883790910718155
"NASP",0.883621369122393
"MLXIP",0.883582790442574
"RPS19",0.883290488534148
"ZNHIT2",0.883092014802258
"NT5C",0.883088751106461
"FAH",0.882675139556989
"TSSC4",0.8826204029201
"AFG3L2",0.882498867430181
"TIMM22",0.882422693938598
"MRPL28",0.882416931390037
"IMPDH1",0.882134274105319
"DNAJC17",0.882031690459594
"EIF2S3",0.882029219374024
"NDUFAF1",0.881930006218832
"FBXL19",0.881810828228091
"DIAPH1",0.8818096791792
"PHPT1",0.881749022884958
"PSMA5",0.881739098078582
"IRF3",0.881583119643266
"ZPR1",0.881580177996118
"CSF3",0.881497684171302
"MIEN1",0.881286163646019
"MED18",0.881202332468572
"RPP25L",0.881168972795474
"EMP3",0.881134274848615
"ECHS1",0.881075300916336
"CHMP6",0.881058120943701
"SLC25A10",0.881048085070012
"AHSA1",0.880890657737622
"RPL3",0.880571271013106
"CAPN1",0.880535949653192
"SBNO2",0.880457965674946
"MIDN",0.880351731523937
"SNRPB",0.880332169348572
"DSN1",0.880245744733248
"GMPR2",0.880041084865081
"MCM5",0.879849709699951
"ISOC2",0.879827541450891
"NUDT2",0.87973349388045
"SIRT7",0.879643720194268
"AIFM1",0.879582035713489
"PSME1",0.879399858294315
"SERPINB6",0.879366190198177
"DRG1",0.87935386109057
"GPAA1",0.879310524479484
"PSMB9",0.879203038150625
"PPP1R10",0.879001693293728
"POLRMT",0.878958489599225
"ALYREF",0.878915360628152
"UQCRH",0.878895183833734
"FBXW5",0.878812154307195
"TMEM160",0.878663691522207
"SSBP4",0.878568350768729
"TTC1",0.878489340791016
"PEF1",0.878289490536114
"CPSF3",0.87822447797903
"MRPL51",0.87805026343418
"KNOP1",0.878035660519435
"GPX1",0.877980759200469
"PNPLA6",0.877979776520394
"HSF1",0.877977171959064
"GAR1",0.87796709742917
"FLYWCH2",0.87793307989301
"GRWD1",0.877929937448874
"CDC26",0.877552067450578
"NUBP2",0.877186634222438
"WDR46",0.876984121809034
"EIF4E2",0.876906181276226
"EIF5B",0.87688258771114
"WIPI2",0.876851608003499
"ANP32E",0.876598147821586
"SUV39H1",0.876419787085137
"S100A3",0.876343770042948
"TMEM132A",0.876282915956637
"SRPRB",0.876076356925738
"PEBP1",0.876033599482844
"CBR3",0.875996967083853
"PARP1",0.875952586587715
"DRG2",0.875908946666689
"CIZ1",0.875822533759472
"REEP2",0.875798131804019
"MRPS23",0.875688164541599
"NDUFB2",0.875550389641049
"FAHD1",0.875382916956119
"SDSL",0.875132430716866
"PLEKHO1",0.875109068450318
"RPS27A",0.874802851960461
"TOR4A",0.874357479965605
"VPS18",0.874196170962246
"PIH1D1",0.874113555270658
"VEGFB",0.874070220217947
"SLC4A2",0.874030107361838
"CES2",0.873424890762311
"NEIL2",0.873324106304152
"BANF1",0.873290362750733
"RELA",0.873266632714943
"PMVK",0.873180075760591
"NKAP",0.873150350440733
"KIAA2013",0.873038270392177
"SYF2",0.872992027539381
"ORAI2",0.87297078564962
"ENSA",0.872865199962755
"SAFB2",0.87282775505749
"TOMM40",0.872723138508936
"TRIM8",0.872614419143158
"TAF10",0.872475943103243
"DHRS3",0.872274028376671
"WWP2",0.872127867247474
"RFC3",0.872063986607807
"GET4",0.871899139510719
"MAD1L1",0.871838764833659
"DNM1",0.871552947607342
"MYADM",0.871527831789255
"POLR3D",0.871430514002187
"UBE2S",0.871399292235437
"NECAP2",0.87137214287531
"SLC25A1",0.871369453924241
"TSPO",0.871356629504775
"TSR3",0.871306707039056
"MRPS7",0.871254374482014
"OGFOD1",0.871108039516777
"JTB",0.871029735657828
"B4GALT7",0.870948248613403
"CHMP2A",0.870772506748225
"PHF23",0.870769537365034
"POMGNT1",0.870740134861006
"CAPN12",0.870586820493139
"RRBP1",0.869873576163275
"ELAC2",0.869780301279025
"ATP6V0D1",0.869755053629514
"HIRIP3",0.869736248607734
"ZNF444",0.869364974158519
"RNF187",0.869254374424401
"EIF3I",0.869175659295922
"UQCC3",0.869132136553898
"CARM1",0.869117480206322
"VPS28",0.868948859095733
"EXOSC4",0.868866256289892
"MRPS2",0.868484499998002
"DDX24",0.868366562232239
"SERBP1",0.868283765800201
"BNIP1",0.868264256497377
"PDCD7",0.868217936280967
