"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NTHL1",3.5475,8.53375,2.057892076898,0.0579964505300052,0.353043279441668,-4.2990951422318
"DSP",1.48375,0.958125,2.05774686227112,0.0580120810346421,0.353043279441668,-4.29932956161035
"PAFAH1B3",9.8175,37.65,2.05731976562241,0.0580580749593833,0.353204499694119,-4.30001897161558
"TREX1",-3.77250000000001,22.58625,-2.0570506845118,0.0580870694154109,0.353233987720679,-4.30045327780715
"PLEKHO1",-31.205,55.13125,-2.05681430134263,0.0581125515152873,0.353233987720679,-4.30083478375898
"SFT2D3",3.14875,5.320625,2.05673192984177,0.058121433571179,0.353233987720679,-4.30096772020311
"TP53TG5",-0.35625,0.316875,-2.05654409976502,0.0581416918043258,0.353238496245457,-4.30127084203564
"SLIT2",8.98625,5.191875,2.05628955690069,0.058169155622418,0.353238496245457,-4.30168160232482
"FAM104A",4.63,21.15125,2.05615957519835,0.0581831845465378,0.353238496245457,-4.30189134576809
"VCPKMT",1.495,4.33,2.05584198524746,0.058217475089507,0.353238496245457,-4.30240379171942
"NRTN",1.55875,0.824375,2.05576105084385,0.0582262166324733,0.353238496245457,-4.30253437643445
"ACADM",5.47375,12.761875,2.05542978751844,0.0582620081946198,0.353238496245457,-4.30306882956687
"OGT",15.88375,38.554375,2.05524034894531,0.0582824852813404,0.353238496245457,-4.30337444532375
"HOXC10",7.69,4.21375,2.05509891028877,0.0582977781926397,0.353238496245457,-4.30360261454217
"TNFAIP8L3",-3.185,6.07625,-2.05508722412183,0.0582990419122512,0.353238496245457,-4.30362146632829
"MUL1",2.69875,17.029375,2.05491918365193,0.0583172162649172,0.353238496245457,-4.3038925381101
"PDE6A",0.23625,0.693125,2.0547232264253,0.058338416509424,0.353248766767696,-4.30420862862382
"PLEKHJ1",8.14250000000001,32.78125,2.05431362307907,0.0583827535669428,0.353324735242282,-4.30486929162091
"RIMS3",-4.7175,7.915,-2.05416701919443,0.0583986300523708,0.353324735242282,-4.30510573709811
"PDE1C",27.65125,15.464375,2.05406676740494,0.0584094891124395,0.353324735242282,-4.30526741993652
"TOP2A",37.3725,59.52,2.05371666352648,0.058447426150883,0.35343617195948,-4.30583202352977
"H6PD",-3.6325,12.5075,-2.053087203857,0.0585156908711709,0.353730866945186,-4.30684700955048
"RBM6",13.83,37.725,2.05280264519474,0.0585465751763514,0.353799473813447,-4.30730579857803
