gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,RR9
LRFN5,0.0,0.0,0.0,0.239215,0.314342,0.160419,0.113304,0.276188,0.193713,0.376468,0.187991,0.3571,0.306912,0.306912,0.248895,0.0691279,0.155978,0.29308
LRG1,4.2566,1.99684,2.33333,0.0,0.0,0.0297655,0.0,0.0325651,0.0788326,0.175622,0.210512,0.277941,0.0529593,0.0529593,0.0265615,0.381841,0.880747,0.418776
LRGUK,0.89028,0.0,0.977442,0.0675201,0.0511892,0.0943077,0.0457686,0.0411031,0.0497805,0.0665214,0.132879,0.109713,0.217054,0.217054,0.100553,0.194564,0.146337,0.0970276
LRIF1,15.7798,17.5067,19.8364,9.38167,9.13869,9.9069,8.74154,9.62108,10.2056,25.0839,25.9477,25.4187,12.8023,12.8023,14.7658,7.18591,7.83432,7.04575
LRIG1,0.0,0.0,0.0,5.15172,4.59858,4.56766,5.33643,4.72492,5.01626,25.2287,24.7951,25.5993,22.7695,22.7695,22.6915,14.6425,13.635,14.2071
LRIG2,0.765957,1.19619,0.280604,2.24195,2.45337,2.44069,3.05792,3.24334,3.01186,1.48182,1.54366,1.6186,2.38341,2.38341,2.35481,1.08588,1.3435,1.25216
LRIG3,0.0,0.0,0.0,2.19993,1.57419,1.85043,2.41248,2.46771,2.4365,1.4263,1.45479,1.29921,2.12011,2.12011,2.13062,0.519597,0.552645,0.769681
LRIT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIT2,12.8063,15.8875,18.6159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIT3,0.655599,0.0,0.360121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRMP,27.8409,22.3725,28.1412,0.0167472,0.0169423,0.0,0.0,0.0,0.072117,0.0214104,0.0,0.0423807,0.0312714,0.0312714,0.0647389,0.0,0.0242168,0.0
LRP1,2.17494,1.61547,2.8877,17.1298,17.1277,16.7023,21.3522,21.2001,21.0811,3.16901,3.05168,3.36557,15.5194,15.5194,15.6996,15.7478,16.0816,15.7608
LRP1-AS,11.2174,5.29888,0.0,0.0,0.188607,0.207564,0.130025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP10,4.00464,5.11851,3.19901,33.5055,34.0641,34.1024,38.0799,39.3168,38.6923,14.2626,14.2627,14.9071,34.3264,34.3264,35.1752,34.9504,35.7507,33.9859
LRP11,5.19215,8.51565,6.77375,17.7964,18.1013,17.5973,19.6543,19.5285,20.1819,18.593,18.2452,17.344,14.578,14.578,14.9919,9.31911,8.86209,9.86622
LRP12,3.70077,4.53504,1.56408,8.43773,8.67202,9.20356,10.3041,9.74342,9.97886,11.8697,11.8288,11.7573,11.2908,11.2908,11.3936,6.75702,6.27276,5.86067
LRP1B,0.0674384,0.126314,0.0741927,0.0492498,0.0497796,0.0840576,0.0769107,0.0753488,0.0685016,0.12878,0.196282,0.184568,0.221622,0.221622,0.17147,0.12427,0.135947,0.0977061
LRP2,4.96305,4.7808,5.61602,0.0,0.0,0.00304695,0.0,0.0,0.0,0.0,0.00355763,0.0,0.0,0.0,0.00269045,0.0,0.0,0.0
LRP2BP,8.03125,7.94274,7.84725,0.153486,0.137905,0.209707,0.288127,0.351906,0.263374,0.279255,0.334659,0.232217,0.235268,0.235268,0.295343,0.148142,0.19808,0.135484
LRP3,32.6533,38.921,28.2125,0.0120767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0872417,0.0,0.0
LRP4,7.14844,5.53702,8.46613,1.08574,1.19333,0.995891,1.22383,1.12462,1.1694,1.00695,1.17086,1.18135,2.74854,2.74854,2.51083,2.29351,2.43796,2.28852
LRP4-AS1,2.51836,2.36369,2.75903,0.345323,0.317361,0.0701031,0.0855707,0.153698,0.0464949,0.455815,0.248365,0.327828,0.281318,0.281318,0.313444,0.31398,0.494813,0.536556
LRP5,1.78432,3.34359,1.7162,0.0425704,0.00859844,0.0190187,0.0460348,0.0,0.0250231,0.0111434,0.0111286,0.0330944,0.0,0.0,0.0,0.0,0.0,0.0
LRP5L,0.0,0.0,0.0,0.0124056,0.0290641,0.0321055,0.039146,0.113179,0.0,0.209557,0.0757509,0.225596,0.227805,0.227805,0.443048,0.252088,0.254201,0.371061
LRP6,3.68193,2.29907,2.82253,3.21555,3.43627,3.27462,4.25277,4.2084,3.90576,1.36106,1.2529,1.43637,1.78548,1.78548,1.84861,0.727066,0.984609,1.01695
LRP8,7.96987,8.22774,6.43853,11.601,11.1019,11.2545,11.7378,12.4972,11.8177,5.40023,5.95496,6.04525,8.7391,8.7391,8.64714,7.84303,7.38109,8.01203
LRPAP1,13.1203,12.1888,13.61,8.99905,8.9387,8.51484,8.18779,8.48431,7.99224,5.37689,5.03249,5.20727,13.3271,13.3271,13.0927,19.3319,19.267,19.6346
LRPPRC,11.1846,8.54334,9.27069,29.4001,28.3784,28.7069,27.8462,27.1813,27.7198,17.8039,16.6168,17.1227,24.041,24.041,24.8831,20.8001,20.7342,20.2393
LRR1,44.3863,45.533,31.818,25.073,22.9211,21.9508,25.5494,23.4622,23.483,23.4488,19.8225,21.446,21.7301,21.7301,21.524,20.3173,21.3274,16.9536
LRRC1,0.372699,0.0,0.0,3.99579,4.18228,4.10127,4.29871,4.67052,5.11468,2.97543,2.71165,3.47852,2.95361,2.95361,3.4289,2.45366,2.37859,2.34552
LRRC10,16.7154,14.366,18.35,0.0,0.0,0.01966,0.0,0.0,0.0,0.0231189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC10B,45.3308,47.1777,42.4608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207656,0.0,0.0,0.0
LRRC14,4.06623,6.21578,5.64623,6.73748,7.00555,6.59798,6.25902,6.35546,6.19126,3.33329,3.18967,3.69242,4.28892,4.28892,3.9673,14.3966,14.259,14.0327
LRRC14B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305871,0.0,0.0,0.0
LRRC15,1.75027,2.18633,2.56566,8.26518,8.38779,8.7008,9.05925,9.45446,8.97131,1.82212,1.65423,1.70742,1.06996,1.06996,1.04517,0.765336,0.897213,0.946446
LRRC16A,4.45433,6.16054,7.92788,3.59917,3.77864,3.73067,4.03278,4.19454,4.09636,2.86057,2.6684,2.79831,3.02138,3.02138,3.45611,1.95778,1.53914,1.28695
LRRC16B,9.56002,7.07193,9.1245,0.0,0.0194198,0.0322136,0.0,0.0,0.0,0.0,0.0,0.0,0.0094704,0.0094704,0.0,0.0,0.0,0.0138662
LRRC17,0.0,0.0,0.0,4.42353,5.75212,4.73568,5.28764,5.61423,4.46034,20.4008,21.7776,20.5322,23.0955,23.0955,23.1136,12.4905,12.5966,14.19
LRRC18,22.1674,24.5179,18.2191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386924,0.0,0.0,0.0,0.0,0.0,0.0
LRRC19,13.6698,10.9811,18.9511,0.0867633,0.0375865,0.0554694,0.0167855,0.060272,0.0182562,0.211372,0.292262,0.177006,0.0367269,0.0367269,0.0491582,0.0716414,0.161619,0.0893256
LRRC2,19.2757,19.32,19.4636,0.0514,0.0432957,0.0574588,0.0347365,0.0207969,0.0378003,0.213224,0.246562,0.255519,0.0675333,0.0675333,0.127166,0.0620116,0.0746238,0.0742426
LRRC2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC20,11.3843,12.9333,25.0113,11.5414,11.1383,11.1207,9.42841,9.94898,8.7862,3.46327,3.35859,2.72488,4.30657,4.30657,4.24755,9.18146,9.5281,8.76464
