gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
SYDE2,0.08,0.08,0.5,0.59,0.59,1.09,1.06,1.3,0.11,0.17,0.33,0.4,0.46,0.48,0.48,0.54
LBH,34.06,4.09,0.08,0.02,0.05,1.32,0.82,1.13,17.48,4.66,0.02,0.04,0.02,0.0,0.0,0.0
TPPP,9.08,19.04,0.22,0.22,0.2,1.07,0.89,1.05,63.95,76.54,0.13,0.11,0.15,0.16,0.21,0.22
LAMTOR4,78.77,139.32,62.3,61.48,57.25,39.92,41.08,37.22,101.44,112.64,41.47,55.83,41.84,43.87,40.4,45.06
PNKD,26.86,59.38,37.25,37.15,36.52,42.56,50.6,41.29,49.1,55.23,72.58,88.97,75.03,31.2,36.09,33.08
RTP5,2.2,1.05,0.0,0.03,0.0,0.03,0.0,0.0,1.01,0.14,0.0,0.0,0.03,0.0,0.0,0.0
CCDC97,14.6,17.28,9.87,10.29,10.59,8.35,8.58,8.88,18.97,9.18,7.03,6.81,6.79,5.72,6.37,6.26
PDE6B,1.06,3.71,0.4,0.14,0.29,0.42,0.7,0.54,7.36,11.8,0.37,0.36,0.28,0.31,0.32,0.32
AARD,2.52,0.08,4.94,4.4,4.44,0.28,0.26,0.4,0.69,0.2,2.48,2.18,1.81,3.17,3.81,3.66
GPR108,20.65,32.68,45.06,42.6,41.25,34.35,33.95,33.62,27.23,29.79,75.97,85.21,76.2,34.6,38.7,35.85
ATP2B4,16.81,24.74,69.29,71.04,80.92,31.43,30.26,30.48,17.92,15.33,91.45,64.25,89.12,74.91,74.19,75.17
LOC101927401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.02,0.0,0.0,0.0,0.02
ATXN2,18.58,22.98,18.96,17.29,16.85,13.23,13.35,13.74,14.65,14.15,23.43,23.59,23.26,19.88,18.28,19.05
ROR2,1.1,0.1,0.0,0.02,0.0,0.03,0.04,0.09,0.31,0.45,0.06,0.0,0.04,0.0,0.0,0.0
CCNY,29.68,23.07,15.29,15.11,15.31,12.11,11.35,12.07,28.64,21.69,18.17,17.9,17.8,17.87,17.93,18.4
